ticker,calidad,crecimiento,valoracion,solidez,compuesto,exclusion,sector_gics,kpis_con_dato
FIS,-0.48923289828109234,1.11745491953571,0.32815700170248635,-0.9728177945534444,0.6602221612385227,,Financials,13
FISV,-0.19477806253665958,-0.42712988348332837,0.10735861041868716,-0.5923399569989898,-0.8518727977714855,,Financials,13
FIX,-0.1567378936564617,0.863786438039346,-0.37625500339518997,-0.2982791731035452,-0.020545754409238344,,Industrials,13
FLEX,-0.8276203986006401,-0.29361637749150904,-0.013604488065178263,-0.29814604764048663,-1.031812128219838,,Information Technology,17
FOX,-0.10272632289714449,-0.4935783099191489,0.29712605541139797,1.6570645854182338,0.9625744753630656,,Communication Services,12
FOXA,-0.10272632289714449,-0.4935783099191489,0.22795361622009672,1.6570645854182338,0.9139225993522544,,Communication Services,12
FRT,-0.08818517859410645,-0.2698049286485697,0.3036259161529998,0.03771921637091463,0.008483604694878438,,Real Estate,15
FSLR,0.07714117969613989,0.1881592091807415,0.5491941833045165,0.8572210836912788,1.1226269680294465,,Information Technology,16
FTNT,-0.07729391023352675,-0.005379753115957823,-0.4251028026631853,0.31855365859332097,-0.168729603848549,,Information Technology,16
FTV,0.249307434748077,-0.4669318339823716,0.1231713681402802,-0.427692749575357,-0.44017512378068996,,Industrials,17
GD,-0.24323398243381167,0.4409804737363912,0.536465511068795,0.14199423654582238,0.6177512076290502,,Industrials,13
GDDY,0.858633578657101,-0.23117582317928684,-0.7943847633982435,-0.8987429701980929,-0.7769204903887051,,Information Technology,15
GE,0.3498909562524442,0.4825359646053471,-0.44469591570983563,-0.47681514901673994,-0.11254137900289318,,Industrials,12
GEHC,0.029055603167323113,-0.2228763709341151,0.3763575779906676,-0.350036178559408,-0.25500296213464413,,Health Care,12
GEN,0.4734399366198758,-0.12500901249092433,0.3193970481159735,-0.9320246556043718,-0.22075604605724972,,Information Technology,14
GEV,1.2187486072583955,2.412841180660265,-1.1236712264279165,0.7066886763087162,2.386873685704204,,Industrials,16
GILD,0.32469269155367064,-0.17047216717078337,0.23772383567956515,-0.2866099406984145,-0.03574232204228962,,Health Care,14
GIS,-0.3167418035987987,-0.7596053902878638,0.5799797585216336,-0.29386088592255477,-0.7485310231714992,,Consumer Staples,17
GLW,-0.41736254832894476,0.26381686920668285,-0.34187509543245964,-0.4724145024869116,-0.7090302905323038,,Information Technology,17
GM,-0.47215670693984124,-0.47135788010682894,0.5655724958311598,-0.204483144570754,-0.5310325200240164,,Consumer Discretionary,12
GNRC,-0.4020895532610626,-0.23104623605228328,0.1106298051186171,-0.113541412496542,-0.5263476447853189,,Industrials,17
GOOG,0.24108552329339958,0.4379755744439018,-0.34797355678667063,0.586710199437887,0.6530419493944287,,Communication Services,13
GOOGL,0.24108552329339958,0.4379755744439018,-0.3527509636208541,0.586710199437887,0.6496817989115594,,Communication Services,13
GPC,-0.6534199060035139,-0.43656222314440446,0.3999529138032192,-0.26881168773944003,-0.8054255172564811,,Consumer Discretionary,13
GPN,-0.22558274405447767,0.07847475243260578,-0.11572151972949261,-0.8989536275590303,-0.9279924443646739,,Financials,17
